# Примеры моделей OpenRouter для быстрого копирования

# Формат: Название | API ID | Описание

# === OpenAI ===
GPT-4 Turbo | openai/gpt-4-turbo | Самый мощный GPT-4 с обновлениями
GPT-4 | openai/gpt-4 | Стандартный GPT-4
GPT-3.5 Turbo | openai/gpt-3.5-turbo | Быстрая и дешевая модель

# === Anthropic (Claude) ===
Claude 3.5 Sonnet | anthropic/claude-3.5-sonnet | Лучшая модель Claude
Claude 3 Opus | anthropic/claude-3-opus | Мощная модель Claude
Claude 3 Sonnet | anthropic/claude-3-sonnet | Баланс качества и скорости
Claude 3 Haiku | anthropic/claude-3-haiku | Быстрая модель Claude

# === Google ===
Gemini Pro | google/gemini-pro | Модель от Google
Gemini Pro Vision | google/gemini-pro-vision | Модель с поддержкой изображений

# === Meta (Llama) ===
Llama 2 70B Chat | meta-llama/llama-2-70b-chat | Большая модель Llama
Llama 2 13B Chat | meta-llama/llama-2-13b-chat | Средняя модель Llama
Llama 2 7B Chat | meta-llama/llama-2-7b-chat | Малая модель Llama

# === Mistral AI ===
Mistral 7B Instruct | mistralai/mistral-7b-instruct | Открытая модель Mistral
Mixtral 8x7B Instruct | mistralai/mixtral-8x7b-instruct | Мощная смешанная модель

# === Perplexity ===
Llama 3 Sonar Large | perplexity/llama-3-sonar-large-32k-online | Модель с доступом в интернет

# === Cohere ===
Command | cohere/command | Модель от Cohere

# === Nous Research ===
Nous Hermes 2 Mixtral | nousresearch/nous-hermes-2-mixtral-8x7b-dpo | Fine-tuned модель

# === Другие ===
Qwen 2.5 72B | qwen/qwen-2.5-72b-instruct | Китайская модель
Pixtral 12B | mistralai/pixtral-12b | Модель с поддержкой изображений

# Примечание: Полный список моделей доступен на https://openrouter.ai/models

